Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt,NED,DF,Crystal Palace,29,1990,22,20,1777,19.7,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,1.2,1.2,0.8,2,0.06,0.04,0.1,0.06,0.1,Matches
2,Tammy Abraham,ENG,FW,Chelsea,22,1997,22,12,1040,11.6,6,1,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,7.3,0.56,0.07,0.63,0.56,0.63,Matches
3,Che Adams,SCO,FW,Southampton,24,1996,36,30,2667,29.6,9,5,9,0,0,1,0,0.3,0.17,0.47,0.3,0.47,8.8,8.8,5.8,14.5,0.3,0.19,0.49,0.3,0.49,Matches
4,Tosin Adarabioyo,ENG,DF,Fulham,22,1997,33,33,2953,32.8,0,0,0,0,0,1,0,0,0,0,0,0,1.1,1.1,0.4,1.5,0.03,0.01,0.04,0.03,0.04,Matches
5,Adrián,ESP,GK,Liverpool,33,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Sergio Agüero,ARG,FWMF,Manchester City,32,1988,12,7,559,6.2,4,1,3,1,2,0,0,0.64,0.16,0.81,0.48,0.64,3.4,1.8,1.3,3.1,0.54,0.21,0.75,0.3,0.51,Matches
7,Ola Aina,NGA,DF,Fulham,23,1996,31,31,2664,29.6,2,1,2,0,0,3,0,0.07,0.03,0.1,0.07,0.1,1,1,1.4,2.3,0.03,0.05,0.08,0.03,0.08,Matches
8,Rayan Aït Nouri,FRA,DF,Wolves,19,2001,21,16,1404,15.6,1,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,1,1.6,0.04,0.06,0.1,0.04,0.1,Matches
9,Semi Ajayi,NGA,DF,West Brom,26,1993,33,31,2780,30.9,2,0,2,0,0,3,1,0.06,0,0.06,0.06,0.06,1.3,1.3,0.3,1.5,0.04,0.01,0.05,0.04,0.05,Matches
10,Nathan Aké,NED,DF,Manchester City,25,1995,10,9,797,8.9,1,0,1,0,0,4,0,0.11,0,0.11,0.11,0.11,0.1,0.1,0,0.1,0.01,0,0.02,0.01,0.02,Matches
11,Marc Albrighton,ENG,DFFW,Leicester City,30,1989,31,17,1746,19.4,1,5,1,0,0,2,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,4.4,5.7,0.07,0.23,0.29,0.07,0.29,Matches
12,Thiago Alcántara,ESP,MF,Liverpool,29,1991,24,20,1854,20.6,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,1.4,1.4,2.3,3.7,0.07,0.11,0.18,0.07,0.18,Matches
13,Toby Alderweireld,BEL,DF,Tottenham,31,1989,25,25,2240,24.9,1,0,1,0,0,2,0,0.04,0,0.04,0.04,0.04,0.8,0.8,0.3,1.2,0.03,0.01,0.05,0.03,0.05,Matches
14,Rúnar Alex Rúnarsson,ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Trent Alexander-Arnold,ENG,DF,Liverpool,21,1998,36,34,3031,33.7,2,7,2,0,0,2,0,0.06,0.21,0.27,0.06,0.27,2.8,2.8,8.1,10.8,0.08,0.24,0.32,0.08,0.32,Matches
16,Ezgjan Alioski,MKD,DF,Leeds United,28,1992,36,29,2461,27.3,2,3,2,0,0,7,0,0.07,0.11,0.18,0.07,0.18,1.5,1.5,3.1,4.6,0.05,0.11,0.17,0.05,0.17,Matches
17,Alisson,BRA,GK,Liverpool,27,1992,33,33,2970,33,1,0,1,0,0,1,0,0.03,0,0.03,0.03,0.03,0.1,0.1,0,0.1,0,0,0,0,0,Matches
18,Allan,BRA,MF,Everton,29,1991,24,23,2051,22.8,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05,Matches
19,Dele Alli,ENG,MF,Tottenham,24,1996,15,7,620,6.9,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,1.3,1.3,0.9,2.2,0.19,0.13,0.32,0.19,0.32,Matches
20,Miguel Almirón,PAR,MFFW,Newcastle Utd,26,1994,34,28,2429,27,4,1,4,0,0,3,0,0.15,0.04,0.19,0.15,0.19,3.2,3.2,2.8,5.9,0.12,0.1,0.22,0.12,0.22,Matches
21,Marcos Alonso,ESP,DF,Chelsea,29,1990,13,11,960,10.7,2,0,2,0,0,2,0,0.19,0,0.19,0.19,0.19,1.7,1.7,1.1,2.8,0.16,0.11,0.27,0.16,0.27,Matches
22,Steven Alzate,COL,MFDF,Brighton,21,1998,15,10,896,10,1,0,1,0,0,2,0,0.1,0,0.1,0.1,0.1,0.7,0.7,0.5,1.1,0.07,0.05,0.11,0.07,0.11,Matches
23,Daniel Amartey,GHA,DF,Leicester City,25,1994,12,8,722,8,1,0,1,0,0,3,0,0.12,0,0.12,0.12,0.12,0.4,0.4,0,0.4,0.05,0,0.05,0.05,0.05,Matches
24,Ethan Ampadu,WAL,DFMF,Sheffield Utd,19,2000,25,23,2089,23.2,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.9,1.3,0.01,0.04,0.06,0.01,0.06,Matches
25,Joachim Andersen,DEN,DF,Fulham,24,1996,31,30,2730,30.3,1,1,1,0,0,7,1,0.03,0.03,0.07,0.03,0.07,1.1,1.1,0.5,1.6,0.04,0.02,0.05,0.04,0.05,Matches
26,Elliot Anderson,SCO,MF,Newcastle Utd,17,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Felipe Anderson,BRA,FWMF,West Ham,27,1993,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Michail Antonio,ENG,FW,West Ham,30,1990,26,24,1974,21.9,10,5,10,0,0,3,0,0.46,0.23,0.68,0.46,0.68,11.4,11.4,2.3,13.7,0.52,0.11,0.62,0.52,0.62,Matches
29,Alphonse Areola,FRA,GK,Fulham,27,1993,36,36,3240,36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Stuart Armstrong,SCO,MF,Southampton,28,1992,33,32,2764,30.7,4,5,4,0,0,3,0,0.13,0.16,0.29,0.13,0.29,3,3,2.7,5.7,0.1,0.09,0.18,0.1,0.18,Matches
31,Kepa Arrizabalaga,ESP,GK,Chelsea,25,1994,7,6,585,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,31,1989,29,26,2332,25.9,10,3,8,2,2,2,0,0.39,0.12,0.5,0.31,0.42,10.6,9.1,2.8,11.9,0.41,0.11,0.52,0.35,0.46,Matches
33,Serge Aurier,CIV,DF,Tottenham,27,1992,19,19,1605,17.8,2,3,2,0,0,0,0,0.11,0.17,0.28,0.11,0.28,1.4,1.4,1.9,3.2,0.08,0.11,0.18,0.08,0.18,Matches
34,Charlie Austin,ENG,FW,West Brom,31,1989,5,0,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.13,0,0.13,0.13,0.13,Matches
35,Jordan Ayew,GHA,FWMF,Crystal Palace,28,1991,33,23,2096,23.3,1,3,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17,2.4,2.4,0.7,3,0.1,0.03,0.13,0.1,0.13,Matches
36,Luke Ayling,ENG,DF,Leeds United,28,1991,38,38,3399,37.8,0,0,0,0,0,7,0,0,0,0,0,0,1.4,1.4,2.6,4,0.04,0.07,0.1,0.04,0.1,Matches
37,César Azpilicueta,ESP,DF,Chelsea,30,1989,26,24,2188,24.3,1,2,1,0,0,5,1,0.04,0.08,0.12,0.04,0.12,0.8,0.8,2.6,3.4,0.03,0.11,0.14,0.03,0.14,Matches
38,Eric Bailly,CIV,DF,Manchester Utd,26,1994,12,10,916,10.2,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches
39,Fabián Balbuena,PAR,DF,West Ham,28,1991,14,13,1198,13.3,1,0,1,0,0,1,1,0.08,0,0.08,0.08,0.08,0.6,0.6,0,0.6,0.05,0,0.05,0.05,0.05,Matches
40,George Baldock,ENG,DF,Sheffield Utd,27,1993,32,32,2787,31,0,2,0,0,0,7,0,0,0.06,0.06,0,0.06,1.1,1.1,1.7,2.8,0.04,0.05,0.09,0.04,0.09,Matches
41,Gareth Bale,WAL,FW,Tottenham,31,1989,20,10,920,10.2,11,2,11,0,0,1,0,1.08,0.2,1.27,1.08,1.27,5.3,5.3,1.9,7.2,0.52,0.19,0.71,0.52,0.71,Matches
42,Patrick Bamford,ENG,FW,Leeds United,26,1993,38,37,3050,33.9,17,7,15,2,2,3,0,0.5,0.21,0.71,0.44,0.65,17.3,15.7,4.1,19.8,0.51,0.12,0.63,0.46,0.59,Matches
43,Phil Bardsley,SCO,DF,Burnley,35,1985,4,3,274,3,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,Matches
44,Ross Barkley,ENG,MF,Aston Villa,26,1993,24,18,1531,17,3,1,3,0,0,0,0,0.18,0.06,0.24,0.18,0.24,3.2,3.2,3.6,6.8,0.19,0.21,0.4,0.19,0.4,Matches
45,Ross Barkley,ENG,MF,Chelsea,26,1993,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.06,0.16,0.22,0.06,0.22,Matches
46,Ashley Barnes,ENG,FW,Burnley,30,1989,22,15,1331,14.8,3,0,2,1,1,4,0,0.2,0,0.2,0.14,0.14,5.1,4.4,0.7,5.1,0.35,0.04,0.39,0.3,0.34,Matches
47,Harvey Barnes,ENG,FWMF,Leicester City,22,1997,25,22,1945,21.6,9,4,9,0,0,0,0,0.42,0.19,0.6,0.42,0.6,6.2,6.2,1.5,7.7,0.29,0.07,0.35,0.29,0.35,Matches
48,Kyle Bartley,ENG,DF,West Brom,29,1991,30,28,2584,28.7,3,1,3,0,0,4,0,0.1,0.03,0.14,0.1,0.14,2.1,2.1,0.2,2.4,0.07,0.01,0.08,0.07,0.08,Matches
49,Chris Basham,ENG,DFMF,Sheffield Utd,32,1988,31,31,2576,28.6,0,1,0,0,0,5,0,0,0.03,0.03,0,0.03,0.8,0.8,0.8,1.6,0.03,0.03,0.05,0.03,0.05,Matches
50,Michy Batshuayi,BEL,FW,Crystal Palace,26,1993,18,7,728,8.1,2,1,2,0,0,0,0,0.25,0.12,0.37,0.25,0.37,1.4,1.4,1.4,2.8,0.17,0.18,0.35,0.17,0.35,Matches
51,Jan Bednarek,POL,DF,Southampton,24,1996,36,36,3100,34.4,1,1,1,0,0,5,1,0.03,0.03,0.06,0.03,0.06,1,1,0.3,1.3,0.03,0.01,0.04,0.03,0.04,Matches
52,Donny van de Beek,NED,MFFW,Manchester Utd,23,1997,19,4,524,5.8,1,1,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34,0.3,0.3,1,1.3,0.05,0.17,0.22,0.05,0.22,Matches
53,Héctor Bellerín,ESP,DF,Arsenal,25,1995,25,24,2089,23.2,1,2,1,0,0,8,0,0.04,0.09,0.13,0.04,0.13,0.8,0.8,2.4,3.2,0.04,0.1,0.14,0.04,0.14,Matches
54,Saïd Benrahma,ALG,FWMF,West Ham,24,1995,30,14,1391,15.5,1,6,1,0,0,0,0,0.06,0.39,0.45,0.06,0.45,2.3,2.3,4.4,6.6,0.15,0.28,0.43,0.15,0.43,Matches
55,Josh Benson,ENG,MF,Burnley,20,1999,6,2,264,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,Matches
56,Christian Benteke,BEL,FW,Crystal Palace,29,1990,30,21,1816,20.2,10,1,10,0,0,3,1,0.5,0.05,0.55,0.5,0.55,8.1,8.1,1,9.1,0.4,0.05,0.45,0.4,0.45,Matches
57,Gaetano Berardi,SUI,DF,Leeds United,31,1988,2,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
58,Jóhann Berg Guðmundsson,ISL,MF,Burnley,29,1990,22,16,1363,15.1,2,0,2,0,0,2,0,0.13,0,0.13,0.13,0.13,1.7,1.7,0.5,2.2,0.11,0.03,0.14,0.11,0.14,Matches
59,Sander Berge,NOR,MF,Sheffield Utd,22,1998,15,13,1120,12.4,1,1,0,1,1,4,0,0.08,0.08,0.16,0,0.08,1.2,0.5,1.2,1.7,0.1,0.1,0.2,0.04,0.14,Matches
60,Steven Bergwijn,NED,FWMF,Tottenham,22,1997,21,13,1208,13.4,1,3,1,0,0,3,0,0.07,0.22,0.3,0.07,0.3,2.5,2.5,1.3,3.7,0.18,0.09,0.28,0.18,0.28,Matches
61,Bernard,BRA,MFFW,Everton,27,1992,12,3,455,5.1,1,0,1,0,0,2,0,0.2,0,0.2,0.2,0.2,0.2,0.2,0.7,0.9,0.04,0.13,0.18,0.04,0.18,Matches
62,Bernardo,BRA,DFMF,Brighton,25,1995,3,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.13,0.09,0.22,0.13,0.22,Matches
63,Ryan Bertrand,ENG,DF,Southampton,30,1989,29,29,2598,28.9,0,1,0,0,0,5,0,0,0.03,0.03,0,0.03,0.6,0.6,1.2,1.8,0.02,0.04,0.06,0.02,0.06,Matches
64,Yves Bissouma,MLI,MF,Brighton,23,1996,36,35,3111,34.6,1,0,1,0,0,8,1,0.03,0,0.03,0.03,0.03,1.2,1.2,1,2.2,0.04,0.03,0.06,0.04,0.06,Matches
65,Jayden Bogle,ENG,DF,Sheffield Utd,20,2000,16,12,1110,12.3,2,0,2,0,0,2,0,0.16,0,0.16,0.16,0.16,1.8,1.8,0.2,2,0.14,0.01,0.16,0.14,0.16,Matches
66,Willy Boly,CIV,DF,Wolves,29,1991,21,21,1879,20.9,1,1,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,1.1,1.1,0.4,1.6,0.05,0.02,0.07,0.05,0.07,Matches
67,Jarrod Bowen,ENG,FWMF,West Ham,23,1996,38,30,2562,28.5,8,5,8,0,0,0,0,0.28,0.18,0.46,0.28,0.46,6.3,6.3,4.6,10.8,0.22,0.16,0.38,0.22,0.38,Matches
68,Robbie Brady,IRL,MF,Burnley,28,1992,19,12,1052,11.7,1,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.9,1.7,0.07,0.08,0.15,0.07,0.15,Matches
69,Rhian Brewster,ENG,FW,Sheffield Utd,20,2000,27,12,1128,12.5,0,0,0,0,0,1,0,0,0,0,0,0,1.7,1.7,1.7,3.4,0.14,0.13,0.27,0.14,0.27,Matches
70,Nathan Broadhead,WAL,MF,Everton,22,1998,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Josh Brownhill,ENG,MF,Burnley,24,1995,33,32,2813,31.3,0,1,0,0,0,2,0,0,0.03,0.03,0,0.03,1.9,1.9,1.1,3,0.06,0.04,0.1,0.06,0.1,Matches
72,Joe Bryan,ENG,DFFW,Fulham,26,1993,16,7,669,7.4,1,0,1,0,0,2,0,0.13,0,0.13,0.13,0.13,0.4,0.4,0.4,0.8,0.05,0.06,0.11,0.05,0.11,Matches
73,Kean Bryan,ENG,DF,Sheffield Utd,23,1996,13,12,1004,11.2,1,0,1,0,0,1,0,0.09,0,0.09,0.09,0.09,0.4,0.4,0.4,0.8,0.04,0.03,0.07,0.04,0.07,Matches
74,Oliver Burke,SCO,FW,Sheffield Utd,23,1997,25,14,1269,14.1,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,2.4,2.4,1.8,4.2,0.17,0.13,0.3,0.17,0.3,Matches
75,Dan Burn,ENG,DF,Brighton,28,1992,27,23,2061,22.9,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,1.5,1.5,1,2.5,0.06,0.04,0.11,0.06,0.11,Matches
76,Jack Butland,ENG,GK,Crystal Palace,27,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,David Button,ENG,GK,West Brom,31,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Oskar Buur,DEN,DF,Wolves,22,1998,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Willy Caballero,ARG,GK,Chelsea,38,1981,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Gary Cahill,ENG,DF,Crystal Palace,34,1985,20,20,1800,20,1,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,0.7,0.7,0.7,1.4,0.03,0.04,0.07,0.03,0.07,Matches
81,Tom Cairney,SCO,MF,Fulham,29,1991,10,9,759,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,2.1,0.08,0.17,0.25,0.08,0.25,Matches
82,Dominic Calvert-Lewin,ENG,FW,Everton,23,1997,33,32,2871,31.9,16,0,16,0,0,3,0,0.5,0,0.5,0.5,0.5,15.4,15.4,2,17.5,0.48,0.06,0.55,0.48,0.55,Matches
83,João Cancelo,POR,DF,Manchester City,26,1994,28,27,2299,25.5,2,3,2,0,0,5,1,0.08,0.12,0.2,0.08,0.2,2,2,4.9,6.9,0.08,0.19,0.27,0.08,0.27,Matches
84,Ian Carlo Poveda,ENG,MFDF,Leeds United,20,2000,14,0,355,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.8,1.2,0.09,0.21,0.3,0.09,0.3,Matches
85,Andy Carroll,ENG,FW,Newcastle Utd,31,1989,18,4,392,4.4,1,0,1,0,0,1,0,0.23,0,0.23,0.23,0.23,1.2,1.2,0.1,1.2,0.27,0.02,0.29,0.27,0.29,Matches
86,Scott Carson,ENG,GK,Manchester City,34,1985,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Fabio Carvalho,ENG,MFFW,Fulham,17,2002,4,3,255,2.8,1,0,1,0,0,0,0,0.35,0,0.35,0.35,0.35,1.1,1.1,0.4,1.5,0.4,0.13,0.53,0.4,0.53,Matches
88,Matty Cash,ENG,DF,Aston Villa,22,1997,28,28,2372,26.4,0,2,0,0,0,8,1,0,0.08,0.08,0,0.08,0.3,0.3,2.2,2.5,0.01,0.08,0.1,0.01,0.1,Matches
89,Kiko Casilla,ESP,GK,Leeds United,33,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Timothy Castagne,BEL,DF,Leicester City,24,1995,27,27,2345,26.1,2,3,2,0,0,1,0,0.08,0.12,0.19,0.08,0.19,1.3,1.3,2,3.3,0.05,0.08,0.13,0.05,0.13,Matches
91,Jonny Castro,ESP,DF,Wolves,26,1994,7,7,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
92,Ivan Cavaleiro,POR,FWMF,Fulham,26,1993,36,27,2472,27.5,3,0,2,1,2,2,0,0.11,0,0.11,0.07,0.07,6.2,4.7,3.4,8,0.23,0.12,0.35,0.17,0.29,Matches
93,Edinson Cavani,URU,FW,Manchester Utd,33,1987,26,13,1375,15.3,10,3,10,0,0,4,0,0.65,0.2,0.85,0.65,0.85,7.4,7.4,2.7,10.1,0.48,0.17,0.66,0.48,0.66,Matches
94,Dani Ceballos,ESP,MF,Arsenal,23,1996,25,17,1615,17.9,0,3,0,0,0,4,0,0,0.17,0.17,0,0.17,0.7,0.7,2.9,3.6,0.04,0.16,0.2,0.04,0.2,Matches
95,Calum Chambers,ENG,DF,Arsenal,25,1995,10,8,753,8.4,0,2,0,0,0,0,0,0,0.24,0.24,0,0.24,0.6,0.6,1.1,1.7,0.07,0.14,0.21,0.07,0.21,Matches
96,Ben Chilwell,ENG,DF,Chelsea,23,1996,27,27,2286,25.4,3,5,3,0,0,3,0,0.12,0.2,0.31,0.12,0.31,2.4,2.4,2.8,5.3,0.1,0.11,0.21,0.1,0.21,Matches
97,Hamza Choudhury,ENG,MF,Leicester City,22,1997,10,4,316,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.11,0,0.11,0.11,0.11,Matches
98,Andreas Christensen,DEN,DF,Chelsea,24,1996,17,15,1371,15.2,0,0,0,0,0,2,1,0,0,0,0,0,0.1,0.1,0.4,0.5,0.01,0.02,0.03,0.01,0.03,Matches
99,Carney Chukwuemeka,ENG,FWMF,Aston Villa,16,2004,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.29,0,0.29,0.29,0.29,Matches
100,Ciaran Clark,IRL,DF,Newcastle Utd,30,1989,22,21,1891,21,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,0.3,0.3,0.1,0.4,0.02,0,0.02,0.02,0.02,Matches
101,Nathaniel Clyne,ENG,DF,Crystal Palace,29,1991,13,13,1145,12.7,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
102,Conor Coady,ENG,DF,Wolves,27,1993,37,37,3303,36.7,1,0,1,0,0,5,0,0.03,0,0.03,0.03,0.03,1.3,1.3,0.1,1.4,0.03,0,0.04,0.03,0.04,Matches
103,Séamus Coleman,IRL,DFMF,Everton,31,1988,25,18,1613,17.9,0,3,0,0,0,0,0,0,0.17,0.17,0,0.17,1.2,1.2,1.9,3.1,0.06,0.11,0.17,0.06,0.17,Matches
104,Aaron Connolly,IRL,FW,Brighton,20,2000,17,9,791,8.8,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,3.5,3.5,0.2,3.7,0.4,0.02,0.42,0.4,0.42,Matches
