Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
317,Hannibal Mejbri,TUN,MF,Manchester Utd,17,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
318,Benjamin Mendy,FRA,DF,Manchester City,26,1994,13,11,953,10.6,2,1,2,0,0,2,0,0.19,0.09,0.28,0.19,0.28,0.4,0.4,0.4,0.9,0.04,0.04,0.08,0.04,0.08,Matches
319,Edouard Mendy,SEN,GK,Chelsea,28,1992,31,31,2745,30.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
320,Nampalys Mendy,SEN,MF,Leicester City,28,1992,23,15,1459,16.2,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,0.1,0.1,0.4,0.4,0.01,0.02,0.03,0.01,0.03,Matches
321,Illan Meslier,FRA,GK,Leeds United,20,2000,35,35,3150,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches
322,Luka Milivojević,SRB,MF,Crystal Palace,29,1991,31,27,2359,26.2,1,1,0,1,2,8,1,0.04,0.04,0.08,0,0.04,2.3,0.8,1.3,2.1,0.09,0.05,0.14,0.03,0.08,Matches
323,James Milner,ENG,MFDF,Liverpool,34,1986,26,11,1070,11.9,0,1,0,0,0,3,0,0,0.08,0.08,0,0.08,0.4,0.4,1.2,1.7,0.04,0.1,0.14,0.04,0.14,Matches
324,Yerry Mina,COL,DF,Everton,25,1994,24,23,1937,21.5,2,0,2,0,0,2,0,0.09,0,0.09,0.09,0.09,1.3,1.3,0,1.3,0.06,0,0.06,0.06,0.06,Matches
325,Takumi Minamino,JPN,MFFW,Liverpool,25,1995,9,2,293,3.3,1,0,1,0,0,0,0,0.31,0,0.31,0.31,0.31,0.7,0.7,0,0.7,0.2,0,0.2,0.2,0.2,Matches
326,Takumi Minamino,JPN,MFFW,Southampton,25,1995,10,9,711,7.9,2,0,2,0,0,1,0,0.25,0,0.25,0.25,0.25,1.2,1.2,0.5,1.7,0.15,0.07,0.22,0.15,0.22,Matches
327,Tyrone Mings,ENG,DF,Aston Villa,27,1993,36,36,3194,35.5,2,2,2,0,0,6,1,0.06,0.06,0.11,0.06,0.11,1.9,1.9,0.6,2.5,0.05,0.02,0.07,0.05,0.07,Matches
328,Tyrick Mitchell,ENG,DF,Crystal Palace,20,1999,19,19,1710,19,1,1,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,0.4,0.8,0.02,0.02,0.04,0.02,0.04,Matches
329,Aleksandar Mitrović,SRB,FW,Fulham,25,1994,27,13,1402,15.6,3,3,2,1,2,3,0,0.19,0.19,0.39,0.13,0.32,6.5,5,2.6,7.6,0.42,0.17,0.59,0.32,0.49,Matches
330,Jakub Moder,POL,DFMF,Brighton,21,1999,12,7,647,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1,0.12,0.02,0.14,0.12,0.14,Matches
331,Jayson Molumby,IRL,MF,Brighton,20,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
332,Wesley Moraes,BRA,MFFW,Aston Villa,23,1996,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
333,Wes Morgan,JAM,DF,Leicester City,36,1984,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
334,Mason Mount,ENG,MFFW,Chelsea,21,1999,36,32,2890,32.1,6,5,5,1,1,2,0,0.19,0.16,0.34,0.16,0.31,6.8,6,7.8,13.8,0.21,0.24,0.45,0.19,0.43,Matches
335,Lucas Moura,BRA,FWMF,Tottenham,27,1992,30,14,1411,15.7,3,4,3,0,0,1,0,0.19,0.26,0.45,0.19,0.45,2.2,2.2,2.3,4.5,0.14,0.14,0.29,0.14,0.29,Matches
336,Lys Mousset,FRA,FWMF,Sheffield Utd,24,1996,11,2,296,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.1,0.22,0.1,0.32,0.22,0.32,Matches
337,João Moutinho,POR,MF,Wolves,33,1986,33,28,2528,28.1,1,1,1,0,0,5,1,0.04,0.04,0.07,0.04,0.07,0.7,0.7,2.6,3.3,0.02,0.09,0.12,0.02,0.12,Matches
338,Joel Mumbongo,SWE,FW,Burnley,21,1999,4,0,40,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Jacob Murphy,ENG,DFMF,Newcastle Utd,25,1995,26,17,1626,18.1,2,3,2,0,0,3,0,0.11,0.17,0.28,0.11,0.28,1.2,1.2,2.4,3.6,0.07,0.13,0.2,0.07,0.2,Matches
340,Shkodran Mustafi,GER,DF,Arsenal,28,1992,3,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
341,Marvelous Nakamba,ZIM,MF,Aston Villa,26,1994,13,9,749,8.3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.1,0,0,0.01,0,0.01,Matches
342,Iliman Ndiaye,FRA,MF,Sheffield Utd,21,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
343,Wilfred Ndidi,NGA,MFDF,Leicester City,23,1996,26,25,2176,24.2,1,4,1,0,0,6,0,0.04,0.17,0.21,0.04,0.21,0.8,0.8,1.5,2.2,0.03,0.06,0.09,0.03,0.09,Matches
344,Tanguy Ndombele,FRA,MF,Tottenham,23,1996,33,28,2091,23.2,3,2,3,0,0,3,0,0.13,0.09,0.22,0.13,0.22,1.4,1.4,2.4,3.8,0.06,0.1,0.16,0.06,0.16,Matches
345,Reiss Nelson,ENG,FW,Arsenal,20,1999,2,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
346,Pedro Neto,POR,FWMF,Wolves,20,2000,31,30,2550,28.3,5,6,5,0,0,4,0,0.18,0.21,0.39,0.18,0.39,4.8,4.8,6.2,11,0.17,0.22,0.39,0.17,0.39,Matches
347,Rúben Neves,POR,MF,Wolves,23,1997,36,31,2675,29.7,5,1,2,3,3,8,0,0.17,0.03,0.2,0.07,0.1,5.1,2.9,2.1,5,0.17,0.07,0.24,0.1,0.17,Matches
348,Eddie Nketiah,ENG,FW,Arsenal,21,1999,17,4,423,4.7,2,1,2,0,0,0,0,0.43,0.21,0.64,0.43,0.64,2.4,2.4,0.8,3.3,0.52,0.18,0.7,0.52,0.7,Matches
349,Niels Nkounkou,FRA,DFFW,Everton,19,2000,2,1,81,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
350,Dan Nlundulu,ENG,FW,Southampton,21,1999,13,0,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.08,0.02,0.1,0.08,0.1,Matches
351,Mark Noble,ENG,MF,West Ham,33,1987,21,8,712,7.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.03,0.03,0,0.03,Matches
352,Will Norris,ENG,GK,Burnley,26,1993,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0.04,0,0.04,Matches
353,Oliver Norwood,NIR,MF,Sheffield Utd,29,1991,32,26,2220,24.7,0,0,0,0,0,6,0,0,0,0,0,0,0.5,0.5,1.7,2.1,0.02,0.07,0.09,0.02,0.09,Matches
354,Jack O'Connell,ENG,DF,Sheffield Utd,26,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
355,Dara O'Shea,IRL,DF,West Brom,21,1999,28,25,2102,23.4,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.01,0.01,0.01,0.01,0.01,Matches
356,Michael Obafemi,IRL,FW,Southampton,20,2000,4,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.16,0.16,0,0.16,Matches
357,Denis Odoi,BEL,DF,Fulham,32,1988,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,Matches
358,Angelo Ogbonna,ITA,DF,West Ham,32,1988,28,28,2492,27.7,3,0,3,0,0,5,0,0.11,0,0.11,0.11,0.11,1.5,1.5,1,2.5,0.05,0.04,0.09,0.05,0.09,Matches
359,Robin Olsen,SWE,GK,Everton,30,1990,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
360,Josh Onomah,ENG,MF,Fulham,23,1997,11,4,374,4.2,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0.15,0.01,0.17,0.15,0.17,Matches
361,Divock Origi,BEL,FW,Liverpool,25,1995,9,2,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.2,0.47,0.11,0.58,0.47,0.58,Matches
362,Ben Osborn,ENG,MFDF,Sheffield Utd,25,1994,24,17,1604,17.8,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,Matches
363,Owen Otasowie,USA,MFFW,Wolves,19,2001,6,2,187,2.1,0,1,0,0,0,1,0,0,0.48,0.48,0,0.48,0.6,0.6,0.1,0.7,0.27,0.07,0.34,0.27,0.34,Matches
364,Alex Oxlade-Chamberlain,ENG,FWMF,Liverpool,26,1993,13,2,253,2.8,1,1,1,0,0,0,0,0.36,0.36,0.71,0.36,0.71,0.4,0.4,0.2,0.6,0.13,0.08,0.21,0.13,0.21,Matches
365,Emerson Palmieri,ITA,DF,Chelsea,25,1994,2,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
366,Thomas Partey,GHA,MF,Arsenal,27,1993,24,18,1534,17,0,2,0,0,0,5,0,0,0.12,0.12,0,0.12,1.3,1.3,1,2.3,0.08,0.06,0.14,0.08,0.14,Matches
367,Rui Patrício,POR,GK,Wolves,32,1988,37,37,3329,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
368,Bailey Peacock-Farrell,NIR,GK,Burnley,23,1996,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Lee Peltier,ENG,DF,West Brom,33,1986,4,3,229,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
370,Nicolas Pépé,CIV,FW,Arsenal,25,1995,29,16,1616,18,10,1,9,1,1,1,1,0.56,0.06,0.61,0.5,0.56,7,6.2,0.9,7.1,0.39,0.05,0.44,0.35,0.39,Matches
371,Matheus Pereira,BRA,MFFW,West Brom,24,1996,33,30,2577,28.6,11,6,7,4,4,2,1,0.38,0.21,0.59,0.24,0.45,7.2,4.1,5.4,9.5,0.25,0.19,0.44,0.14,0.33,Matches
372,Ricardo Pereira,POR,DF,Leicester City,26,1993,15,10,959,10.7,0,1,0,0,0,3,0,0,0.09,0.09,0,0.09,0.4,0.4,0.5,0.9,0.04,0.05,0.09,0.04,0.09,Matches
373,Ayoze Pérez,ESP,MFFW,Leicester City,27,1993,25,15,1331,14.8,2,1,2,0,0,2,0,0.14,0.07,0.2,0.14,0.2,3.2,3.2,1.2,4.5,0.22,0.08,0.3,0.22,0.3,Matches
374,Kalvin Phillips,ENG,MF,Leeds United,24,1995,29,28,2428,27,1,2,1,0,0,10,0,0.04,0.07,0.11,0.04,0.11,0.4,0.4,3.8,4.1,0.01,0.14,0.15,0.01,0.15,Matches
375,Matt Phillips,SCO,MFFW,West Brom,29,1991,33,20,1828,20.3,2,1,2,0,0,1,0,0.1,0.05,0.15,0.1,0.15,2.5,2.5,3.1,5.6,0.12,0.15,0.27,0.12,0.27,Matches
376,Nathaniel Phillips,ENG,DF,Liverpool,23,1997,17,15,1456,16.2,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,0.4,1.5,0.07,0.02,0.09,0.07,0.09,Matches
377,Jaden Philogene Bidace,ENG,FW,Aston Villa,18,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
378,Jordan Pickford,ENG,GK,Everton,26,1994,31,31,2742,30.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
379,Erik Pieters,NED,DFMF,Burnley,31,1988,20,13,1266,14.1,0,1,0,0,0,1,0,0,0.07,0.07,0,0.07,0.2,0.2,0.5,0.7,0.01,0.03,0.05,0.01,0.05,Matches
380,Daniel Podence,POR,MFFW,Wolves,24,1995,24,22,1661,18.5,3,2,3,0,0,3,0,0.16,0.11,0.27,0.16,0.27,3.1,3.1,1.9,5,0.17,0.1,0.27,0.17,0.27,Matches
381,Paul Pogba,FRA,MFFW,Manchester Utd,27,1993,26,21,1897,21.1,3,3,3,0,0,3,0,0.14,0.14,0.28,0.14,0.28,2.1,2.1,2.1,4.2,0.1,0.1,0.2,0.1,0.2,Matches
382,Nick Pope,ENG,GK,Burnley,28,1992,32,32,2880,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.01,0.01,0,0.01,Matches
383,Dennis Praet,BEL,MFFW,Leicester City,26,1994,15,10,718,8,1,1,1,0,0,0,0,0.13,0.13,0.25,0.13,0.25,0.5,0.5,0.8,1.3,0.07,0.1,0.16,0.07,0.16,Matches
384,Davy Pröpper,NED,MF,Brighton,28,1991,7,2,213,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,Matches
385,Christian Pulisic,USA,FWMF,Chelsea,21,1998,27,18,1738,19.3,4,2,4,0,0,2,0,0.21,0.1,0.31,0.21,0.31,5.4,5.4,2.8,8.2,0.28,0.14,0.43,0.28,0.43,Matches
386,Aaron Ramsdale,ENG,GK,Sheffield Utd,22,1998,38,38,3420,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,Matches
387,Jacob Ramsey,ENG,MF,Aston Villa,19,2001,22,6,626,7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,0.07,0.04,0.11,0.07,0.11,Matches
388,Kayne Ramsey,ENG,DF,Southampton,19,2000,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Darren Randolph,IRL,GK,West Ham,33,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
390,Marcus Rashford,ENG,FW,Manchester Utd,22,1997,37,33,2920,32.4,11,9,11,0,0,4,0,0.34,0.28,0.62,0.34,0.62,9.3,9.3,3.6,12.9,0.29,0.11,0.4,0.29,0.4,Matches
391,Tim Ream,USA,DF,Fulham,32,1987,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
392,Nathan Redmond,ENG,MFFW,Southampton,26,1994,29,17,1738,19.3,2,3,2,0,0,1,0,0.1,0.16,0.26,0.1,0.26,3.3,3.3,3.3,6.6,0.17,0.17,0.34,0.17,0.34,Matches
393,Harrison Reed,ENG,MF,Fulham,25,1995,31,26,2247,25,0,2,0,0,0,5,0,0,0.08,0.08,0,0.08,0.3,0.3,1.4,1.8,0.01,0.06,0.07,0.01,0.07,Matches
394,Sergio Reguilón,ESP,DF,Tottenham,23,1996,27,26,2244,24.9,0,3,0,0,0,5,0,0,0.12,0.12,0,0.12,1.6,1.6,1.7,3.2,0.06,0.07,0.13,0.06,0.13,Matches
395,Bobby Reid,JAM,MFDF,Fulham,27,1993,33,28,2372,26.4,5,2,5,0,0,7,0,0.19,0.08,0.27,0.19,0.27,4.8,4.8,1.4,6.2,0.18,0.05,0.23,0.18,0.23,Matches
396,Declan Rice,ENG,MF,West Ham,21,1999,32,32,2879,32,2,1,1,1,2,2,0,0.06,0.03,0.09,0.03,0.06,3,1.5,2.1,3.5,0.09,0.06,0.16,0.05,0.11,Matches
397,Lewis Richardson,ENG,FWMF,Burnley,17,2003,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Richarlison,BRA,FW,Everton,23,1997,34,33,2861,31.8,7,3,6,1,1,4,1,0.22,0.09,0.31,0.19,0.28,11.5,10.7,3.2,13.8,0.36,0.1,0.46,0.34,0.44,Matches
399,Jaïro Riedewald,NED,MF,Crystal Palace,23,1996,33,19,1820,20.2,2,0,2,0,0,4,0,0.1,0,0.1,0.1,0.1,0.7,0.7,1,1.6,0.03,0.05,0.08,0.03,0.08,Matches
400,Matt Ritchie,SCO,DFMF,Newcastle Utd,30,1989,18,15,1350,15,0,2,0,0,0,2,0,0,0.13,0.13,0,0.13,0.4,0.4,1.5,1.9,0.03,0.1,0.13,0.03,0.13,Matches
401,Tyler Roberts,WAL,MFFW,Leeds United,21,1999,27,14,1340,14.9,1,2,1,0,0,3,0,0.07,0.13,0.2,0.07,0.2,2.1,2.1,1.8,3.8,0.14,0.12,0.26,0.14,0.26,Matches
402,Andrew Robertson,SCO,DF,Liverpool,26,1994,38,38,3383,37.6,1,7,1,0,0,2,0,0.03,0.19,0.21,0.03,0.21,1.4,1.4,6.9,8.2,0.04,0.18,0.22,0.04,0.22,Matches
403,Antonee Robinson,USA,DF,Fulham,22,1997,28,24,2162,24,0,0,0,0,0,4,1,0,0,0,0,0,0.6,0.6,1.6,2.2,0.02,0.07,0.09,0.02,0.09,Matches
404,Callum Robinson,IRL,FWMF,West Brom,25,1995,28,20,1560,17.3,5,0,5,0,0,0,0,0.29,0,0.29,0.29,0.29,3.1,3.1,0.8,3.9,0.18,0.05,0.22,0.18,0.22,Matches
405,Jack Robinson,ENG,DF,Sheffield Utd,26,1993,11,9,877,9.7,0,1,0,0,0,3,0,0,0.1,0.1,0,0.1,0.4,0.4,0.9,1.2,0.04,0.09,0.13,0.04,0.13,Matches
406,Hal Robson-Kanu,WAL,FW,West Brom,31,1989,19,2,561,6.2,2,0,2,0,0,2,0,0.32,0,0.32,0.32,0.32,1.5,1.5,0.4,1.9,0.24,0.06,0.3,0.24,0.3,Matches
407,Marek Rodák,SVK,GK,Fulham,23,1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
408,Joe Rodon,WAL,DF,Tottenham,22,1997,12,8,733,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
409,Rodri,ESP,MF,Manchester City,24,1996,34,31,2748,30.5,2,2,1,1,1,6,0,0.07,0.07,0.13,0.03,0.1,2.5,1.7,1.7,3.4,0.08,0.06,0.14,0.06,0.11,Matches
410,Rodrigo,ESP,MFFW,Leeds United,29,1991,26,14,1288,14.3,7,2,7,0,0,3,0,0.49,0.14,0.63,0.49,0.63,6.3,6.3,2.4,8.6,0.44,0.17,0.6,0.44,0.6,Matches
411,James Rodríguez,COL,FWMF,Everton,29,1991,23,21,1764,19.6,6,4,6,0,0,4,0,0.31,0.2,0.51,0.31,0.51,3.4,3.4,5.4,8.8,0.17,0.28,0.45,0.17,0.45,Matches
412,Jay Rodriguez,ENG,FWMF,Burnley,31,1989,31,12,1265,14.1,1,2,1,0,0,3,0,0.07,0.14,0.21,0.07,0.21,2.6,2.6,1.7,4.3,0.18,0.12,0.31,0.18,0.31,Matches
413,Oriol Romeu,ESP,MF,Southampton,28,1991,21,20,1763,19.6,1,1,1,0,0,6,0,0.05,0.05,0.1,0.05,0.1,0.4,0.4,1.1,1.5,0.02,0.05,0.08,0.02,0.08,Matches
414,John Ruddy,ENG,GK,Wolves,33,1986,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
415,Antonio Rüdiger,GER,DF,Chelsea,27,1993,19,19,1710,19,1,0,1,0,0,0,0,0.05,0,0.05,0.05,0.05,1.1,1.1,0.3,1.4,0.06,0.02,0.08,0.06,0.08,Matches
416,Mathew Ryan,AUS,GK,Brighton,28,1992,11,11,990,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
417,Mathew Ryan,AUS,GK,Arsenal,28,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
418,Allan Saint-Maximin,FRA,FWMF,Newcastle Utd,23,1997,25,19,1560,17.3,3,4,3,0,0,0,0,0.17,0.23,0.4,0.17,0.4,2.6,2.6,3.3,5.9,0.15,0.19,0.34,0.15,0.34,Matches
419,Romain Saïss,MAR,DF,Wolves,30,1990,27,27,2407,26.7,3,0,3,0,0,2,0,0.11,0,0.11,0.11,0.11,3.5,3.5,0.3,3.8,0.13,0.01,0.14,0.13,0.14,Matches
420,Bukayo Saka,ENG,FWDF,Arsenal,18,2001,32,30,2553,28.4,5,3,5,0,0,1,0,0.18,0.11,0.28,0.18,0.28,6.9,6.9,4.7,11.6,0.24,0.17,0.41,0.24,0.41,Matches
421,Mamadou Sakho,FRA,DF,Crystal Palace,30,1990,4,3,276,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
422,Mohamed Salah,EGY,FW,Liverpool,28,1992,37,34,3078,34.2,22,5,16,6,6,0,0,0.64,0.15,0.79,0.47,0.61,20.9,16.4,6.3,22.6,0.61,0.18,0.79,0.48,0.66,Matches
423,Mohammed Salisu,GHA,DF,Southampton,21,1999,12,8,844,9.4,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.04,0,0.05,0.04,0.05,Matches
424,Davinson Sánchez,COL,DF,Tottenham,24,1996,18,17,1486,16.5,0,0,0,0,0,1,0,0,0,0,0,0,1.1,1.1,0,1.1,0.07,0,0.07,0.07,0.07,Matches
425,Robert Sánchez,ESP,GK,Brighton,22,1997,27,27,2430,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
